,Adipose_Subcutaneous,Adipose_Visceral_Omentum,Adrenal_Gland,Artery_Aorta,Artery_Coronary,Artery_Tibial,Brain_Amygdala,Brain_Anterior_cingulate_cortex_BA24,Brain_Caudate_basal_ganglia,Brain_Cerebellar_Hemisphere,Brain_Cerebellum,Brain_Cortex,Brain_Frontal_Cortex_BA9,Brain_Hippocampus,Brain_Hypothalamus,Brain_Nucleus_accumbens_basal_ganglia,Brain_Putamen_basal_ganglia,Brain_Spinal_cord_cervical_c_1,Brain_Substantia_nigra,Breast_Mammary_Tissue,Cells_Cultured_fibroblasts,Cells_EBV_transformed_lymphocytes,Colon_Sigmoid,Colon_Transverse,Esophagus_Gastroesophageal_Junction,Esophagus_Mucosa,Esophagus_Muscularis,Heart_Atrial_Appendage,Heart_Left_Ventricle,Kidney_Cortex,Liver,Lung,Minor_Salivary_Gland,Muscle_Skeletal,Nerve_Tibial,Ovary,Pancreas,Pituitary,Prostate,Skin_Not_Sun_Exposed_Suprapubic,Skin_Sun_Exposed_Lower_leg,Small_Intestine_Terminal_Ileum,Spleen,Stomach,Testis,Thyroid,Uterus,Vagina,Whole_Blood
Cells_Cultured_fibroblasts,0.010309,0.033764,0.060187,0.048292,0.049689,0.055923,0.054663,0.036481,0.06337,0.059438,0.064389,0.038163,0.031397,0.053776,0.055637,0.036911,0.010952,0.066149,0.059031,0.016083,1.0,0.05,0.067071,0.05639,0.064898,0.063222,0.040609,0.027829,0.04802,0.003226,0.060835,0.059834,0.038685,0.001037,0.041667,0.06123,0.047927,0.040709,0.0482,0.042636,0.037638,0.049364,0.056444,0.008704,0.043457,0.047084,0.033934,0.063337,0.004137
Cells_EBV_transformed_lymphocytes,0.008245,0.025919,0.063222,0.063991,0.038198,0.045074,0.071897,0.03526,0.083101,0.1027,0.096392,0.047433,0.038204,0.067464,0.056014,0.04019,0.00976,0.112113,0.077069,0.006279,0.05,1.0,0.076034,0.066293,0.055336,0.038835,0.029267,0.007758,0.011843,0.009637,0.081871,0.033071,0.058876,0.000407,0.054568,0.09884,0.040266,0.031533,0.042913,0.024946,0.02477,0.079756,0.058957,0.00476,0.039827,0.05639,0.062604,0.114642,0.001221
Colon_Sigmoid,0.020569,0.066112,0.105968,0.119332,0.079971,0.09614,0.122944,0.076585,0.141731,0.132775,0.157298,0.083628,0.069163,0.115428,0.089683,0.074375,0.008217,0.134324,0.103867,0.01615,0.067071,0.076034,1.0,0.195552,0.116709,0.086571,0.084708,0.018103,0.025031,0.007636,0.12267,0.073556,0.076479,0.001354,0.123028,0.172103,0.073465,0.067293,0.071763,0.05095,0.049724,0.164323,0.085271,0.010114,0.062816,0.127062,0.070755,0.175609,0.00135
Colon_Transverse,0.019891,0.089431,0.112181,0.134442,0.094533,0.093788,0.126899,0.090792,0.152071,0.136507,0.157708,0.102348,0.07071,0.114915,0.105096,0.079621,0.006951,0.123062,0.12072,0.015377,0.05639,0.066293,0.195552,1.0,0.118015,0.088764,0.089658,0.026134,0.040357,0.002865,0.134533,0.090984,0.060147,0.00155,0.093937,0.156318,0.083921,0.058775,0.080723,0.068695,0.072588,0.173453,0.105046,0.01002,0.060846,0.091248,0.063853,0.147697,0.005171
Esophagus_Gastroesophageal_Junction,0.026125,0.082977,0.134615,0.137128,0.136925,0.146301,0.111756,0.07419,0.131066,0.112163,0.115759,0.098121,0.074697,0.107133,0.102273,0.075019,0.011192,0.105754,0.088595,0.029949,0.064898,0.055336,0.116709,0.118015,1.0,0.173127,0.19685,0.047896,0.072641,0.001994,0.098684,0.142776,0.086412,0.00154,0.088053,0.12439,0.073377,0.052603,0.073145,0.081725,0.061548,0.078298,0.092679,0.018464,0.087478,0.092946,0.090852,0.073338,0.004612
Esophagus_Mucosa,0.023256,0.075055,0.097394,0.093691,0.097436,0.100248,0.072308,0.054522,0.09385,0.081386,0.089492,0.06785,0.057269,0.085212,0.083709,0.052048,0.004108,0.075053,0.074065,0.032988,0.063222,0.038835,0.086571,0.088764,0.173127,1.0,0.111706,0.043398,0.058528,0.000455,0.086233,0.139095,0.074884,0.00203,0.064795,0.086402,0.054662,0.048271,0.06422,0.080632,0.075301,0.061169,0.083095,0.011396,0.072325,0.072629,0.067815,0.058242,0.006079
Esophagus_Muscularis,0.025445,0.036412,0.084449,0.088519,0.100932,0.12,0.063252,0.057749,0.069049,0.051031,0.068698,0.049863,0.050792,0.072956,0.08403,0.05642,0.004329,0.051278,0.057936,0.034839,0.040609,0.029267,0.084708,0.089658,0.19685,0.111706,1.0,0.055556,0.072848,0.001577,0.06559,0.120676,0.053571,0.0,0.06743,0.067209,0.052168,0.0504,0.075893,0.061325,0.040367,0.050329,0.06015,0.018494,0.069727,0.068484,0.050673,0.054745,0.007205
Heart_Atrial_Appendage,0.01107,0.03252,0.024073,0.022541,0.046045,0.031419,0.021257,0.01962,0.019376,0.014363,0.01467,0.022115,0.016329,0.018388,0.027418,0.019267,0.002532,0.013274,0.014649,0.022727,0.027829,0.007758,0.018103,0.026134,0.047896,0.043398,0.055556,1.0,0.091811,0.000729,0.018477,0.053856,0.013836,0.0,0.02139,0.013814,0.023297,0.015605,0.021229,0.036398,0.018613,0.011403,0.020524,0.012712,0.017885,0.017652,0.010926,0.009365,0.0
Heart_Left_Ventricle,0.022444,0.03629,0.031986,0.032238,0.037563,0.051208,0.040037,0.048619,0.040206,0.025433,0.032866,0.04,0.039886,0.044321,0.053717,0.041642,0.007576,0.022594,0.030657,0.02267,0.04802,0.011843,0.025031,0.040357,0.072641,0.058528,0.072848,0.091811,1.0,0.003324,0.034646,0.075512,0.011886,0.00678,0.036378,0.026436,0.039024,0.025727,0.025391,0.049612,0.023578,0.016721,0.028683,0.035912,0.027008,0.01576,0.019138,0.018772,0.003311
Kidney_Cortex,0.0,0.001175,0.004561,0.00352,0.001024,0.000991,0.010723,0.011703,0.008808,0.008527,0.009842,0.012619,0.017595,0.011786,0.009352,0.008563,0.008953,0.008856,0.012707,0.0,0.003226,0.009637,0.007636,0.002865,0.001994,0.000455,0.001577,0.000729,0.003324,1.0,0.009912,0.000518,0.011018,0.0,0.002262,0.007411,0.004087,0.003798,0.003035,0.001244,0.0024,0.009199,0.0044,0.000765,0.004223,0.004521,0.01221,0.007738,0.0
